,Congo,Armenia,Turkmenistan,Portugal,Morocco,Swaziland,Puerto Rico,Japan,Solomon Islands,New Zealand,Bosnia and Herzegovina,Sao Tome and Principe,India,Greece,"Congo, Democratic Republic of",Macau,Ireland,Sri Lanka,Australia,Brunei Darussalam,South Africa,Bolivia,Turkey,Benin,South Korea,Dominican Republic,Guyana,Barbados,Afghanistan,Niger,Iceland,United Arab Emirates,Malawi,Slovenia,United States,Cape Verde,Bulgaria,Namibia,Côte d'Ivoire,Belarus,Gambia,Panama,Chile,Cuba,Hong Kong,Nepal,Thailand,Maldives,Vietnam,Zambia,Gabon,Uzbekistan,Saint Lucia,Burundi,Iran,Mauritania,Bahrain,Sudan,Mexico,China (54),Malta,Cyprus,Azerbaijan,Serbia,Kyrgyzstan,Kuwait,Angola,Comoros,North Korea,Togo,Denmark,Tonga,Pakistan,Mozambique,Singapore,Egypt,Moldova,Czech Republic,Argentina,Kenya,Oman,Tunisia,Botswana,Nicaragua,Burkina Faso,Brazil,Mongolia,Zimbabwe,The Netherlands,Libya,Honduras,Venezuela,Indonesia,Spain,Slovakia,Romania,France,Estonia,Mali,Belgium,Djibouti,Virgin Islands (U.S.),Costa Rica,Aruba,Montenegro,"Micronesia, Federated States of",Lao People's Democratic Republic,Bangladesh,Latvia,Finland,Cambodia,Kazakhstan,Jamaica,Germany,Belize,Qatar,Samoa,Madagascar,Georgia,Macedonia,Trinidad and Tobago,Faroe Islands,French Polynesia,Austria,Guatemala,Colombia,Ecuador,Cameroon,Ukraine,Yemen,Guam,Bhutan,Saudi Arabia,Chad,Grenada,Russian Federation,Ethiopia,Syria,Timor-Leste,Ghana,Tanzania,Canada,Haiti,Paraguay,Senegal,Malaysia,Switzerland,Peru,United Kingdom,Lesotho,Liberia,Croatia,Israel,Guinea-Bissau,Mauritius,Luxembourg,Somalia,Uganda,Saint Vincent and the Grenadines,Bahamas,Norway,Equatorial Guinea,Philippines,Guinea,China,Saint Kitts and Nevis,Vanuatu,Albania,Fiji,Sweden,Uruguay,Tajikistan,New Caledonia,Poland,Myanmar,Lithuania,Iraq,El Salvador,Sierra Leone,Rwanda,Suriname,Italy,Jordan,Nigeria,Eritrea,Papua New Guinea,"Palestine, State of",Algeria,Lebanon,Hungary,Central African Republic
1960,0.007103342128369762,0.0016839246795767278,0.003546020179263296,2.528815757530419e-05,0.005143940223904768,,0.00611259809305514,,0.004574773098870073,0.004140557318445095,0.001707945944353884,0.0005862437023741039,0.0005141404429280229,0.003052521413939164,0.009664886178151007,0.00017712137681120282,0.0002799082657616378,0.005761045203727987,0.013529668839402102,0.031455389272349164,0.005473886300794516,0.00035471089496674286,0.0011808525465615474,0.0036614177220171368,,0.0027342774102330123,0.0021640681811009423,,0.0004791248466177332,0.0021392922035106056,0.003112416435628997,,0.009542175811042488,0.0023051245272291804,,0.00543279793049771,0.0007047444467291506,0.009204553671174866,0.0006362993379633185,0.0005482509974194472,0.0017657543698106105,,0.0021961960959283465,0.0005740956901487237,0.0010661300297446592,0.00812417914437816,0.002983616550114353,,0.003504423486370677,0.031384781844288084,0.008352461988817301,0.00970834344336003,,0.007945919729967828,0.01515645130129442,0.003064736460831805,0.0033312895959963533,0.005467480510121631,0.0012150759801517995,0.0021150805019438295,0.01060571788077615,0.0009432538189338768,0.02101020892478989,0.03357456287340836,0.003101547545457417,0.03196911414236085,0.0007204386560896336,0.02089923764065319,0.005617735877986937,,0.0001429564020977955,,0.001869642670388345,0.00026472459194912967,0.005270070776211831,0.008179513570337442,0.03850622364179387,0.006975174235352175,0.0047435367204454616,0.004534100171719829,0.00296449157348312,,0.003251109606327337,0.00021713029678226755,0.0010157482641926854,,0.005683488334810673,0.0011124248406767304,,0.047029930563420766,0.0016661309855794636,0.002115446500062753,0.0032210324005562856,,0.0009350741366559762,0.0028698890199836554,0.0023827451659712076,0.0002444541938876918,0.00013487031677923136,,0.0016266011707815075,0.02375421105889197,0.009997477576721784,,0.002711881760340018,0.0017826112119174184,0.0012969076615619993,0.0042940773647582205,0.0017724584544879481,0.00564890256892576,0.00290184131717953,,0.0018990797878140784,0.0006285592243362113,0.0015850687606131556,,,0.002474880335484889,0.003960955981653132,0.0002828772456003418,0.000497315945077349,0.005318919451350217,8.200009990942356e-05,0.007084493625883604,0.00045396934120870233,0.0009647475215706473,0.0009605888846033141,7.924808276195183e-06,0.0035633065792103078,0.007805878198522227,0.0021676846193837886,0.0014542614322437016,0.0007939602894753622,0.0020870238066371307,0.003013701369731676,0.0021776204450195905,0.0058879054713460955,0.0021591588782146408,0.0036306044943990134,0.006556183746384578,,0.004400322496466136,0.0014369444141844386,0.0023074127650816755,0.00036344537389570677,0.018055113819460702,0.0009421710824805984,0.00129717027574668,0.0009636014718899844,0.0020582605437873846,0.0012342377956047449,0.00132326108816799,0.001590406325015217,0.002656657708030466,0.011345584936497021,0.0004754704359158985,0.0008949026275260106,0.0047015258772976605,0.01014096758523495,0.001409161982817103,0.0012593477408397937,0.021654567924475426,0.004114103450726136,0.03633280743854541,0.0002552381967797931,0.0051970920542143886,0.0041844668848475455,0.001380853701696073,0.0003757359893626603,0.0003599695730827788,0.0014450107511536085,0.00030152852687853745,0.002669667765711891,0.001218972432753892,0.00043260818637310154,0.012781209713682495,0.0023614540936758585,0.009015267602946868,0.002385792456714642,,0.001865413828663731,0.0008560237667165537,0.016932337433296762,0.00040153600627488434,0.000982514651902611,0.0006678114691555045,0.00015068696975099142,0.03189295160701891,,0.0009157177482595699,0.00047867833837416697
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,0.008822259733109907,0.0013292627658329588,0.0036835588911186975,2.3994972813307195e-05,0.005857051962189555,,0.006413357896709309,,0.003806149517226404,0.003158516408360895,0.0013628587705917922,0.0005312580659356053,0.00047494672450730323,0.002712892573835791,0.009678875358166555,0.00016689358097340747,0.0002265727049450913,0.005490318795928761,0.014574227595872362,0.03106956565803347,0.0071747376865552714,0.0003284691501175828,0.0012247848461814687,0.0031398267038460557,,0.0022477917062212467,0.0018751590955637036,,0.00048163331432704765,0.0017757256356621528,0.003950579280734727,,0.0128342257142803,0.002081576064218731,,0.0055194688263692756,0.0009662010995281971,0.009979916912646507,0.0005582794570007514,0.0006857215998864358,0.0019777686138513317,,0.0010312646284458106,0.00046790214774054844,0.000919283988821398,0.006024409155223438,0.0031090200117709307,,0.002549726381070404,0.0264883094746022,0.009601706549556372,0.007383161007946428,,0.007374434426764836,0.014927554480805212,0.002472163678574589,0.005855975880611018,0.0036520063734139132,0.0008487166183684576,0.0020761248735001376,0.010112797251710085,0.0009571401230396258,0.022767494828141933,0.029155751068988045,0.0033261729943212586,0.02809221420290011,0.0006643221699673648,0.030539669917239776,0.004713390934698752,,0.00015984546503241577,,0.0018340996904516065,0.000242313188293202,0.0034160264965709345,0.011681580570729664,0.03318981233496505,0.006059969796975006,0.0041541820537812964,0.005015995263873226,0.00293200662719305,,0.002741852854598744,0.00023476063395363173,0.0008537485256450658,,0.005482447617743877,0.0010736935964824267,,0.04317989036705644,0.0012052322050777036,0.001832265844789141,0.003243050043547784,,0.0007462595685238916,0.0035915637272825674,0.002230957285330464,0.0002578187144810719,0.0002090841159221441,,0.011387039152462022,0.0328721407857768,0.008817558257686776,,0.0033536759851747647,0.0019529490081702696,0.0012052387102538793,0.003776989647328104,0.002161419108326787,0.004789806397263435,0.0032029428897626905,,0.001545724635672998,0.0007959514023735427,0.0012974356551152823,,,0.0021173821199014804,0.003567982032119669,0.00026047477053480823,0.0004647803147479777,0.003798842073761397,6.365424449400833e-05,0.0066856335838816824,0.00037965973861013797,0.0010351302836002717,0.0009704984891398897,7.244411641488213e-06,0.003090222436888381,0.007461902430050104,0.0017845988613292023,0.0009688446268260764,0.0007597814231281744,0.0018162470902431489,0.002853065201557045,0.003081397893972833,0.006421619342641515,0.0033818354467319085,0.0031561415559072234,0.005054689416838239,,0.0046715257395935,0.0012372105522474102,0.0021606966397976907,0.0004119342524709871,0.01816962662916561,0.0008084535412948633,0.0015469491188065526,0.0007765116459068683,0.0010587251610672103,0.0011396931816449348,0.0010297095197660717,0.0008808019721945141,0.001086812340326997,0.011887009481918336,0.0005612113644111608,0.0009545920381528652,0.004428241996012419,0.010364222310897848,0.001383723505861944,0.001152035020086088,0.0183322274408231,0.0038499236363181842,0.031070960120353205,0.00025646781589127595,0.004768250202744339,0.003507130082332514,0.001131832995191801,0.00034267808941441783,0.0013060647416654012,0.001660715281056958,0.0004603372715142036,0.0018309236946533085,0.001010214759840966,0.0005293999513674502,0.02479937047212646,0.0019697830192758,0.007015981879379035,0.0022321737947808853,,0.002820170862466976,0.0007097948733062323,0.018824401849617287,0.00030397200787741563,0.0009279476343670069,0.0006814719021628693,0.0001396446266706681,0.030102787101249993,,0.0007664504415934747,0.0014090846730595852
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
